Communes;Références cadastrales;Nbre de Pieds;"Superficie plantée
en m2";superficie plantée (en ha);nbre_de_pied_a_ha
ESPELETTE;AI 26;6360.0;2868.0;0.2868;22175.732217573222
CAMBO-LES-BAINS;BC 196;23000.0;10000.0;1.0;23000.0
LARRESSORE;AE 39;3200.0;1800.0;0.18;17777.777777777777
CAMBO-LES-BAINS;A 902;8700.0;6000.0;0.6;14500.0
CAMBO-LES-BAINS;A4 373;3000.0;2000.0;0.2;15000.0
CAMBO-LES-BAINS;A4 373;4000.0;3000.0;0.3;13333.333333333334
CAMBO-LES-BAINS;BC 196;7000.0;4000.0;0.4;17500.0
ST PEE/NIVELLE;C 732 - 982;7500.0;6000.0;0.6;12500.0
USTARITZ;ZH 77;6000.0;3000.0;0.3;20000.0
CAMBO-LES-BAINS;A 2152 (=1580);14600.0;7000.0;0.7;20857.14285714286
ST PEE/NIVELLE;B 1527;9300.0;7130.0;0.713;13043.478260869566
USTARITZ;ZI 65;8200.0;4000.0;0.4;20500.0
CAMBO-LES-BAINS;A 80 (= A 2087 - 2089);7180.0;4023.0;0.4023;17847.377578921205
SOURAIDE;ZH 340 - 402 (= ZH 230 et A 930);4800.0;3500.0;0.35;13714.285714285716
LARRESSORE;AE 38;2900.0;2500.0;0.25;11600.0
LARRESSORE;AM 50 - 51;7450.0;5496.0;0.5496;13555.312954876274
LARRESSORE;ZC 10 ET 11;12000.0;7000.0;0.7;17142.857142857145
USTARITZ;ZH 50;25000.0;15000.0;1.5;16666.666666666668
ESPELETTE;B1 121;1500.0;962.0;0.0962;15592.515592515594
AINHOA;B 52 - 412p;18800.0;11000.0;1.1;17090.90909090909
USTARITZ;ZI 55;16110.0;10000.0;1.0;16110.0
ESPELETTE;A2 211;8076.0;4900.0;0.49;16481.632653061224
ESPELETTE;A2 200;11700.0;7000.0;0.7;16714.285714285714
ESPELETTE;A2 200;18365.0;10500.0;1.05;17490.47619047619
LARRESSORE;AD 22 - 52;8060.0;5500.0;0.55;14654.545454545454
ESPELETTE;A 791 - 798;14000.0;10000.0;1.0;14000.0
USTARITZ;AT 298;4000.0;1600.0;0.16;25000.0
USTARITZ;ZK 47;10000.0;7000.0;0.7;14285.714285714286
USTARITZ;AX 72 - 73;4200.0;4000.0;0.4;10500.0
ESPELETTE;C 713;5000.0;3000.0;0.3;16666.666666666668
ESPELETTE;AA 32;3735.0;2159.0;0.2159;17299.67577582214
ITXASSOU;A 2172;12000.0;6000.0;0.6;20000.0
SOURAIDE;ZB 152;8000.0;6000.0;0.6;13333.333333333334
ESPELETTE;C 2119 (= C 1531);21000.0;12000.0;1.2;17500.0
ESPELETTE;A2 858 - 177;7200.0;3400.0;0.34;21176.470588235294
ITXASSOU;A4 2227;4110.0;3000.0;0.3;13700.0
ESPELETTE;A 321;1600.0;1000.0;0.1;16000.0
SOURAIDE;ZH 125b;20680.0;13000.0;1.3;15907.692307692307
ST PEE/NIVELLE;AV 31 (= B 1609);5500.0;2500.0;0.25;22000.0
CAMBO-LES-BAINS;A 26;22000.0;15000.0;1.5;14666.666666666666
LARRESSORE;AD 48;4700.0;2700.0;0.27;17407.407407407405
LARRESSORE;AD 40 - 47;5000.0;2500.0;0.25;20000.0
AINHOA;A 225;11000.0;6000.0;0.6;18333.333333333336
AINHOA;A 526;2500.0;2000.0;0.2;12500.0
AINHOA;B 21;2500.0;2000.0;0.2;12500.0
CAMBO-LES-BAINS;D1  206;2500.0;900.0;0.09;27777.777777777777
CAMBO-LES-BAINS;D1  207;2500.0;900.0;0.09;27777.777777777777
CAMBO-LES-BAINS;B 286;5050.0;2400.0;0.24;21041.666666666668
CAMBO-LES-BAINS;BB 31;4760.0;2500.0;0.25;19040.0
CAMBO-LES-BAINS;A 69;5000.0;2400.0;0.24;20833.333333333336
CAMBO-LES-BAINS;B2 396 - 397;20550.0;10686.0;1.0686;19230.76923076923
LARRESSORE;AT 6 - 7;17892.0;10000.0;1.0;17892.0
ITXASSOU;E1 899 - 898 - 35;5000.0;3000.0;0.3;16666.666666666668
LARRESSORE;AD 21;3500.0;1800.0;0.18;19444.444444444445
USTARITZ;AX 231 - AX 84;23660.0;14500.0;1.45;16317.241379310346
ESPELETTE;C 817;17700.0;13500.0;1.35;13111.11111111111
CAMBO-LES-BAINS;A 36;5200.0;2600.0;0.26;20000.0
ESPELETTE;AV 49;8500.0;8000.0;0.8;10625.0
ESPELETTE;A2 0069;12865.0;6100.0;0.61;21090.16393442623
USTARITZ;ZC 23 - 154;15020.0;10000.0;1.0;15020.0
SOURAIDE;ZN 53;21500.0;9202.0;0.9202;23364.48598130841
LARRESSORE;AX 84-109 - AW 92 (=B4 978);13900.0;8500.0;0.85;16352.94117647059
ST PEE/NIVELLE;B3 395;13500.0;8500.0;0.85;15882.35294117647
LARRESSORE;ZB 1;10500.0;7000.0;0.7;15000.000000000002
ST PEE/NIVELLE;B 711;9320.0;4650.0;0.465;20043.01075268817
ESPELETTE;AT 65;9100.0;4722.0;0.4722;19271.49512918255
ST PEE/NIVELLE;C1 1706;20000.0;10000.0;1.0;20000.0
SOURAIDE;ZM 220;7200.0;2900.0;0.29;24827.586206896554
LARRESSORE;A 373 - 479p;27500.0;13000.0;1.3;21153.846153846152
USTARITZ;AD 892 - 894;13000.0;6500.0;0.65;20000.0
